haltung,pdf_file,pdf_kb,text_len,format,entries,readable
"2273-2274","20230918_2273-2274.pdf",345,5192,Fretz_Format,2,True
"2274-10.1643","20230918_2274-10.1643.pdf",751,8816,Fretz_Format,7,True
"2322-2220","20230913_2322-2220.pdf",2983,9603,Fretz_Format,8,True
"233066-233067","20200609_233066-233067.pdf",473,4726,Fretz_Format,6,True
"233067-2400","20200609_233067-2400.pdf",605,4952,Fretz_Format,7,True
"233068-233067","20200609_233068-233067.pdf",2153,8153,Fretz_Format,14,True
"233069-233066","20200609_233069-233066.pdf",1985,9891,Fretz_Format,14,True
"233070-233068","20200609_233070-233068.pdf",1556,7096,Fretz_Format,11,True
"233071-233070","20200609_233071-233070.pdf",1483,5989,Fretz_Format,9,True
"233072-233069","20200609_233072-233069.pdf",1835,8905,Fretz_Format,13,True
"233074-233071","20240828_233074-233071.pdf",890,6965,WinCan_Standard,6,True
"239415-239419","20240923_239415-239419.pdf",234,4958,Unknown,6,True
"239416-239419","20240923_239416-239419.pdf",225,4665,Unknown,5,True
"239419-86790","20240923_239419-86790.pdf",668,7586,Unknown,13,True
"2396-2203","20200609_2396-2203.pdf",1295,6010,Fretz_Format,8,True
"2396-7.7419","20200609_2396-7.7419.pdf",2599,8373,Fretz_Format,12,True
"2397-2396","20200609_2397-2396.pdf",1216,5460,Fretz_Format,8,True
"2398-2397","20200609_2398-2397.pdf",1337,5459,Fretz_Format,8,True
"2398-7.6847","20200609_2398-7.6847.pdf",2530,9772,Fretz_Format,15,True
"2399-2398","20200609_2399-2398.pdf",1279,5459,Fretz_Format,8,True
"2399-7.6848","20200609_2399-7.6848.pdf",2332,9157,Fretz_Format,13,True
"2400-2399","20200609_2400-2399.pdf",1342,5663,Fretz_Format,9,True
"2400-7.6862","20200609_2400-7.6862.pdf",3849,10491,Fretz_Format,15,True
"2404-2405","20200609_2404-2405.pdf",1805,6130,Fretz_Format,9,True
"2404-7.7413","20200609_2404-7.7413.pdf",6166,12469,Fretz_Format,17,True
"2405-2406","20200609_2405-2406.pdf",1561,7448,Fretz_Format,13,True
"2405-7.7393","20200609_2405-7.7393.pdf",6691,16368,Fretz_Format,22,True
"2406-2407","20200609_2406-2407.pdf",1384,5708,Fretz_Format,10,True
"2406-7.7399","20200609_ 2406-7.7399.pdf",3862,10825,Fretz_Format,15,True
"2407-2408","20200609_2407-2408.pdf",1279,5709,Fretz_Format,10,True
"2407-7.7398","20200609_2407-7.7398.pdf",3224,10782,Fretz_Format,16,True
"2408-2400","20240828_2408-2400.pdf",537,4343,WinCan_Standard,4,True
"2408-7.7418","20200609_ 2408-7.7418.pdf",2299,9057,Fretz_Format,13,True
"240989-240988","20240301_240989-240988.pdf",3579,10365,IKAS_Normal,10,True
"240993-240991","20221206_240993-240991.pdf",1394,10620,Fretz_Format,10,True
"240994-240993","20221206_240994-240993.pdf",1288,11118,Fretz_Format,8,True
"240998-240999","20221206_240998-240999.pdf",1250,11133,Fretz_Format,9,True
"240999-240997","20221206_240999-240997.pdf",1005,9507,Fretz_Format,8,True
"2412-2413","20200702_2412-2413.pdf",1096,5734,Fretz_Format,2,True
"2413-327015","20200702_2413-327015.pdf",1972,6698,Fretz_Format,2,True
"2414-2201","20200702_2414-2201.pdf",1221,5654,Fretz_Format,2,True
"242584-240994","20221206_242584-240994.pdf",1089,11883,Fretz_Format,13,True
"242585-240998","20221206_242585-240998.pdf",592,6920,Fretz_Format,4,True
"2435-2867","20180607_2435-2867.pdf",985,5181,Fretz_Format,5,True
"244583-2404","20200609_244583-2404.pdf",1487,5768,Fretz_Format,12,True
"244584-244589","20200609_244584-244589.pdf",1734,6113,Fretz_Format,9,True
"244585-244584","20200609_244585-244584.pdf",946,5042,Fretz_Format,8,True
"244586-244585","20200609_244586-244585.pdf",2002,7297,Fretz_Format,10,True
